status_code,history,alias,site,error,years
200,[<Response [302]>],https://www.co.grand.co.us/AgendaCenter,http://co-grandcounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.gunnisoncounty.org/AgendaCenter,http://co-gunnisoncounty.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://co-jeffersoncounty.civicplus.com/AgendaCenter,http://co-jeffersoncounty.civicplus.com/AgendaCenter,,True
200,,,http://co-kersey.civicplus.com/AgendaCenter,,True
200,,,http://co-lakedillonfirerescue.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.townoflyons.com/AgendaCenter,http://co-lyons.civicplus.com/AgendaCenter,,True
404,[<Response [301]>],https://co-manitousprings.civicplus.com/AgendaCenter,http://co-manitousprings.civicplus.com/AgendaCenter,,False
200,,,http://co-mmc.civicplus.com/AgendaCenter,,True
200,,,http://co-morrison.civicplus.com/AgendaCenter,,True
200,,,http://co-orchardcity.civicplus.com/AgendaCenter,,True
200,,,http://co-ouraycounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://parkco.us/AgendaCenter,http://co-parkcounty.civicplus.com/AgendaCenter,,True
200,,,http://co-parker3.civicplus.com/AgendaCenter,,True
200,,,http://co-pikespeakboces.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.pueblo.us/AgendaCenter,http://co-pueblo.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.pueblosheriff.com/AgendaCenter,http://co-pueblocountysheriff.civicplus.com/AgendaCenter,,True
200,,,http://co-pueblowest.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.rbc.us/AgendaCenter,http://co-rioblancocounty.civicplus.com/AgendaCenter,,True
,,,http://co-routtcounty.civicplus.com/AgendaCenter,'NoneType' object has no attribute 'span',
200,[<Response [302]>],https://www.rwbfire.org/AgendaCenter,http://co-rwbfiredistrict.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.sacwsd.org/AgendaCenter,http://co-sacwsd.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.sanmiguelcountyco.gov/AgendaCenter,http://co-sanmiguelcounty2.civicplus.com/AgendaCenter,,True
200,,,http://co-smfara.civicplus.com/AgendaCenter,,True
200,,,http://co-southgatewsd.civicplus.com/AgendaCenter,,True
200,,,http://co-steamboatsprings.civicplus.com/AgendaCenter,,True
